timestamp,angle
0.052,0.01
0.062,0.02
0.072,0.03
0.082,0.05
0.092,0.06
0.105,0.07
0.112,0.08
0.122,0.09
0.132,0.10
0.142,0.11
0.153,0.12
0.162,0.12
0.172,0.14
0.182,0.14
0.192,0.15
0.204,0.16
0.212,0.17
0.223,0.18
0.232,0.18
0.242,0.19
0.254,0.20
0.263,0.21
0.273,0.21
0.283,0.22
0.293,0.23
0.304,0.23
0.313,0.24
0.323,0.25
0.333,0.25
0.343,0.26
0.354,0.26
0.363,0.27
0.373,0.27
0.383,0.28
0.393,0.28
0.404,0.29
0.413,0.30
0.424,0.30
0.437,0.30
0.444,0.31
0.454,0.31
0.464,0.32
0.474,0.32
0.487,0.33
0.494,0.33
0.504,0.34
0.514,0.35
0.524,0.35
0.539,0.36
0.544,0.36
0.554,0.37
0.564,0.37
0.574,0.37
0.588,0.38
0.594,0.38
0.605,0.38
0.615,0.39
0.625,0.39
0.638,0.40
0.645,0.40
0.655,0.40
0.665,0.40
0.675,0.41
0.688,0.41
0.695,0.41
0.705,0.41
0.715,0.42
0.725,0.42
0.736,0.42
0.745,0.43
0.755,0.43
0.765,0.43
0.776,0.44
0.788,0.44
0.796,0.44
0.806,0.44
0.816,0.45
0.826,0.45
0.837,0.45
0.846,0.45
0.856,0.46
0.866,0.46
0.876,0.46
0.888,0.46
0.896,0.47
0.906,0.47
0.916,0.47
0.926,0.47
0.938,0.47
0.946,0.47
0.957,0.48
0.966,0.48
0.977,0.48
0.988,0.48
0.996,0.48
1.007,0.49
1.017,0.49
1.027,0.49
1.038,0.49
1.047,0.49
1.057,0.49
1.067,0.50
1.077,0.50
1.088,0.50
1.097,0.50
1.107,0.50
1.117,0.50
1.127,0.50
1.138,0.50
1.148,0.51
1.158,0.51
1.171,0.51
1.178,0.51
1.188,0.51
1.198,0.51
1.208,0.51
1.221,0.51
1.228,0.52
1.239,0.52
1.248,0.52
1.258,0.52
1.272,0.52
1.278,0.52
1.288,0.53
1.298,0.53
1.308,0.53
1.322,0.53
1.328,0.53
1.339,0.53
1.349,0.53
1.359,0.53
1.371,0.53
1.379,0.53
1.389,0.53
1.399,0.53
1.409,0.53
1.422,0.53
1.429,0.53
1.439,0.53
1.449,0.53
1.459,0.53
1.472,0.53
1.479,0.53
1.490,0.53
1.499,0.53
1.510,0.53
1.522,0.53
1.530,0.53
1.540,0.53
1.550,0.53
1.560,0.53
1.572,0.53
1.580,0.53
1.590,0.53
1.600,0.53
1.610,0.53
1.622,0.54
1.630,0.54
1.640,0.54
1.650,0.54
1.660,0.54
1.672,0.54
1.680,0.54
1.691,0.54
1.701,0.54
1.711,0.54
1.722,0.54
1.731,0.54
1.741,0.54
1.751,0.54
1.761,0.54
1.771,0.54
1.781,0.54
1.791,0.54
1.801,0.54
1.811,0.54
1.821,0.54
1.831,0.54
1.841,0.54
1.851,0.54
1.862,0.54
1.872,0.54
1.882,0.54
1.892,0.54
1.904,0.54
1.911,0.55
1.922,0.55
1.932,0.55
1.942,0.55
1.956,0.55
1.962,0.55
1.972,0.55
1.982,0.55
1.992,0.55
2.004,0.54
2.012,0.54
2.023,0.55
2.032,0.55
2.042,0.55
2.055,0.55
2.063,0.55
2.073,0.55
2.083,0.55
2.093,0.55
2.106,0.55
2.113,0.55
2.123,0.55
2.133,0.55
2.143,0.55
2.156,0.55
2.163,0.55
2.173,0.55
2.183,0.55
2.193,0.55
2.206,0.55
2.213,0.56
2.223,0.56
2.233,0.56
2.244,0.56
2.255,0.56
2.264,0.56
2.274,0.56
2.284,0.56
2.294,0.56
2.306,0.56
2.314,0.56
2.324,0.56
2.334,0.56
2.344,0.56
2.356,0.56
2.364,0.56
2.375,0.56
2.384,0.56
2.394,0.56
2.406,0.56
2.415,0.56
2.425,0.56
2.435,0.56
2.445,0.56
2.456,0.56
2.465,0.56
2.475,0.56
2.485,0.56
2.495,0.56
2.506,0.56
2.515,0.56
2.525,0.56
2.535,0.56
2.545,0.56
2.556,0.56
2.565,0.56
2.576,0.56
2.586,0.56
2.596,0.56
2.606,0.56
2.616,0.56
2.626,0.56
2.640,0.56
2.646,0.56
2.656,0.56
2.666,0.56
2.676,0.56
2.690,0.56
2.696,0.56
2.706,0.56
2.716,0.56
2.726,0.56
2.740,0.56
2.747,0.56
2.757,0.56
2.766,0.56
2.776,0.56
2.788,0.56
2.797,0.56
2.807,0.56
2.816,0.56
2.827,0.56
2.838,0.56
2.847,0.56
2.857,0.56
2.867,0.56
2.877,0.56
2.890,0.56
2.897,0.56
2.907,0.56
2.917,0.56
2.927,0.56
2.940,0.56
2.948,0.56
2.958,0.56
2.968,0.56
2.978,0.56
2.990,0.56
2.998,0.56
3.008,0.56
3.018,0.56
3.028,0.56
3.040,0.56
3.048,0.56
3.058,0.56
3.068,0.56
3.078,0.56
3.090,0.56
3.098,0.56
3.108,0.56
3.118,0.57
3.129,0.57
3.140,0.57
3.149,0.57
3.159,0.57
3.169,0.57
3.179,0.57
3.189,0.56
3.199,0.57
3.209,0.56
3.219,0.57
3.229,0.56
3.239,0.56
3.249,0.56
3.259,0.56
3.269,0.56
3.280,0.56
3.291,0.56
3.299,0.56
3.310,0.56
3.320,0.56
3.330,0.56
3.340,0.56
3.350,0.56
3.360,0.56
3.374,0.56
3.380,0.56
3.390,0.56
3.400,0.56
3.410,0.57
3.424,0.57
3.430,0.57
3.441,0.57
3.450,0.57
3.460,0.57
3.474,0.57
3.480,0.57
3.491,0.57
3.501,0.57
3.511,0.57
3.524,0.57
3.531,0.57
3.541,0.57
3.551,0.56
3.561,0.56
3.574,0.56
3.581,0.56
3.591,0.57
3.601,0.57
3.611,0.57
3.624,0.57
3.631,0.57
3.641,0.57
3.652,0.57
3.662,0.57
3.674,0.57
3.682,0.57
3.692,0.57
3.702,0.57
3.712,0.57
3.724,0.57
3.732,0.57
3.742,0.57
3.752,0.57
3.762,0.57
3.774,0.57
3.782,0.57
3.792,0.57
3.802,0.57
3.812,0.57
3.823,0.57
3.832,0.57
3.843,0.57
3.853,0.57
3.863,0.57
3.874,0.56
3.883,0.57
3.893,0.56
3.903,0.56
3.913,0.56
3.924,0.56
3.933,0.56
3.943,0.56
3.953,0.56
3.963,0.56
3.974,0.56
3.983,0.56
3.993,0.56
4.003,0.56
4.014,0.56
4.025,0.56
4.034,0.56
4.044,0.56
4.057,0.56
4.064,0.56
4.075,0.56
4.084,0.56
4.094,0.56
4.108,0.56
4.114,0.56
4.125,0.56
4.134,0.56
4.144,0.56
4.158,0.57
4.164,0.57
4.175,0.56
4.184,0.57
4.195,0.56
4.208,0.56
4.215,0.56
4.225,0.56
4.235,0.56
4.245,0.56
4.258,0.56
4.265,0.56
4.275,0.56
4.285,0.56
4.295,0.56
4.308,0.56
4.315,0.56
4.325,0.56
4.335,0.56
4.345,0.56
4.358,0.56
4.365,0.56
4.376,0.56
4.386,0.56
4.396,0.56
4.408,0.56
4.416,0.56
4.426,0.56
4.436,0.56
4.446,0.56
4.458,0.56
4.466,0.56
4.476,0.56
4.486,0.57
4.496,0.57
