timestamp,angle
0.047,0.01
0.057,0.01
0.067,0.01
0.078,0.01
0.088,0.01
0.097,0.01
0.108,0.01
0.122,0.01
0.128,0.01
0.138,0.01
0.148,0.01
0.158,0.01
0.171,0.01
0.178,0.01
0.188,0.01
0.198,0.01
0.208,0.01
0.221,0.01
0.228,0.01
0.238,0.01
0.248,0.01
0.259,0.01
0.271,0.01
0.279,0.01
0.289,0.01
0.299,0.01
0.309,0.01
0.321,0.01
0.329,0.01
0.339,0.01
0.349,0.01
0.359,0.01
0.371,0.01
0.379,0.01
0.389,0.01
0.399,0.01
0.409,0.01
0.420,0.01
0.429,0.01
0.439,0.01
0.449,0.01
0.460,0.01
0.472,0.01
0.480,0.01
0.490,0.01
0.500,0.01
0.510,0.01
0.520,0.01
0.530,0.01
0.540,0.01
0.550,0.01
0.560,0.01
0.571,0.01
0.580,0.01
0.590,0.00
0.605,0.01
0.610,0.01
0.621,0.01
0.630,0.01
0.641,0.01
0.654,0.01
0.661,0.01
0.671,0.01
0.681,0.01
0.691,0.01
0.705,0.01
0.711,0.01
0.721,0.01
0.731,0.01
0.741,0.01
0.755,0.01
0.761,0.01
0.771,0.01
0.781,0.01
0.791,0.01
0.802,0.00
0.812,0.00
0.822,0.00
0.832,0.00
0.842,0.00
0.855,0.00
0.862,0.00
0.872,0.00
0.882,0.00
0.892,0.00
0.905,0.00
0.912,0.00
0.922,0.00
0.932,0.00
0.942,0.00
0.954,0.00
0.962,0.00
0.973,0.00
0.983,0.00
0.993,0.00
1.004,0.00
1.013,0.00
1.023,0.00
1.033,0.00
1.043,0.00
1.055,0.00
1.063,0.00
1.073,0.00
1.083,0.00
1.093,0.00
1.105,0.00
1.113,0.00
1.123,0.00
1.133,0.00
1.143,0.00
1.155,0.00
1.163,0.00
1.174,0.00
1.184,0.00
1.194,0.00
1.205,0.00
1.214,0.00
1.224,0.00
1.234,0.00
1.244,0.00
1.255,0.00
1.264,0.00
1.274,0.00
1.284,0.00
1.294,0.00
1.305,0.00
1.314,0.00
1.324,0.00
1.338,0.00
1.345,0.00
1.355,0.00
1.365,0.00
1.375,0.00
1.389,0.00
1.395,0.00
1.405,0.00
1.415,0.00
1.425,0.00
1.438,0.00
1.445,0.00
1.455,0.00
1.465,0.00
1.475,0.00
1.489,0.00
1.495,0.00
1.506,0.00
1.515,0.00
1.526,0.00
1.538,0.00
1.546,0.00
1.556,0.00
1.566,0.00
1.576,0.00
1.589,0.00
1.596,0.00
1.606,0.00
1.616,0.00
1.626,0.00
1.639,0.00
1.646,0.00
1.656,-0.00
1.666,0.00
1.676,0.00
1.689,0.00
1.696,0.00
1.707,0.00
1.716,0.00
1.727,0.00
1.739,0.00
1.747,0.00
1.757,0.00
1.767,0.00
1.777,0.00
1.789,0.00
1.797,0.00
1.807,0.00
1.817,0.00
1.827,0.00
1.839,0.00
1.847,0.00
1.857,0.00
1.867,0.00
1.878,0.00
1.889,0.00
1.897,0.00
1.908,0.00
1.918,0.00
1.928,0.00
1.939,0.00
1.948,0.00
1.958,0.00
1.968,0.00
1.978,0.00
1.989,0.00
1.998,0.00
