timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.0000,-0.003326,-0.010925,-1.000061,0.003306,-0.000596,-0.003450
0.0100,-0.003036,-0.009888,-0.999908,-0.001665,0.004216,-0.002421
0.0200,-0.002335,-0.010590,-0.999191,-0.000750,0.004266,-0.000513
0.0300,-0.002472,-0.009094,-0.998047,-0.003202,0.004866,-0.002457
0.0400,-0.002075,-0.008865,-0.999924,-0.004319,0.003776,-0.001982
0.0500,-0.001389,-0.009567,-1.000519,-0.003779,0.002668,-0.001789
0.0600,-0.001968,-0.010925,-0.999329,-0.003855,0.004534,-0.000246
0.0700,-0.001663,-0.010391,-0.998917,-0.003864,0.004160,-0.002093
0.0800,-0.001480,-0.010834,-0.999481,-0.002568,0.002696,-0.000161
0.0900,-0.002121,-0.011383,-0.998566,-0.002103,0.003528,-0.003115
0.1000,-0.001678,-0.010925,-0.999588,-0.003081,0.002080,-0.004363
0.1100,-0.002609,-0.009979,-0.998474,-0.001017,0.003060,-0.001851
0.1200,-0.001678,-0.009293,-1.000198,-0.003586,0.004748,-0.002523
0.1300,-0.002563,-0.009430,-0.999710,-0.003406,0.004832,-0.002599
0.1400,-0.001846,-0.010361,-0.998871,-0.002036,0.003799,-0.003670
0.1500,-0.001953,-0.010071,-0.999741,-0.003430,0.004528,-0.001512
0.1600,-0.001007,-0.011566,-1.000397,-0.003096,0.003066,-0.002402
0.1700,-0.002502,-0.010544,-0.998703,-0.001660,0.004198,-0.001107
0.1800,-0.001755,-0.010239,-1.000183,-0.001993,0.002562,-0.000938
0.1900,-0.001892,-0.010880,-1.000900,-0.002702,0.002172,-0.001810
0.2000,-0.002869,-0.008713,-0.998459,-0.002643,0.002917,-0.001044
0.2100,-0.003265,-0.009750,-1.000427,-0.002919,0.004477,-0.001496
0.2200,-0.002991,-0.010376,-1.000504,-0.002951,0.003634,-0.001373
0.2300,-0.000931,-0.010056,-0.999298,-0.003081,0.003876,0.000292
0.2400,-0.000992,-0.009811,-1.000519,-0.003835,0.004543,-0.001823
0.2500,-0.001678,-0.010345,-0.999100,-0.003251,0.003381,-0.001651
0.2600,-0.001373,-0.010666,-0.999924,-0.001929,0.003347,-0.001075
0.2700,-0.001144,-0.010437,-0.999481,-0.002321,0.003967,-0.001491
0.2800,-0.002197,-0.009491,-0.999039,-0.003725,0.004736,-0.003018
0.2900,-0.001328,-0.009644,-1.000656,-0.002121,0.001763,-0.000810
0.3000,-0.003418,-0.009506,-0.999771,-0.003000,0.004099,-0.002204
0.3100,-0.002792,-0.009003,-0.998718,-0.003349,0.005603,-0.000630
0.3200,-0.001770,-0.009476,-0.999146,-0.002325,0.002708,-0.000546
0.3300,-0.002213,-0.009720,-0.999115,-0.002031,0.003775,-0.003227
0.3400,-0.001587,-0.009216,-0.998947,-0.004410,0.003701,-0.002684
0.3500,-0.002457,-0.010712,-0.998215,-0.003226,0.004503,-0.002268
0.3600,-0.003021,-0.011078,-1.000031,-0.004468,0.004240,-0.002076
0.3700,-0.001602,-0.009476,-0.999374,-0.003786,0.003915,-0.002107
0.3800,-0.000610,-0.010132,-1.000381,-0.004524,0.003671,-0.001741
0.3900,-0.000977,-0.009583,-0.999695,-0.003543,0.004605,-0.001917
0.4000,-0.001373,-0.010330,-0.999344,-0.002436,0.004954,-0.000248
0.4100,-0.001556,-0.009933,-0.999939,-0.001768,0.004622,-0.001646
0.4200,-0.002350,-0.010178,-1.000351,-0.003173,0.005063,-0.002445
0.4300,-0.001602,-0.010956,-0.999924,-0.003210,0.003935,-0.000368
0.4400,-0.001373,-0.011108,-0.998398,-0.002177,0.003505,-0.001070
0.4500,-0.001053,-0.011719,-0.998474,-0.003818,0.004158,-0.002190
0.4600,-0.001404,-0.011322,-0.999588,-0.003296,0.003844,-0.001696
0.4700,-0.001389,-0.011887,-0.999481,-0.003324,0.002825,-0.001864
0.4800,-0.001862,-0.009552,-1.000183,-0.002820,0.004978,-0.000654
0.4900,-0.001663,-0.010330,-0.999481,-0.003747,0.002712,-0.002588
0.5000,-0.001877,-0.010040,-0.998459,-0.003314,0.004145,-0.001965
0.5100,-0.002167,-0.009033,-0.998718,-0.003433,0.003220,-0.002008
0.5200,-0.000732,-0.010300,-1.000595,-0.001604,0.003239,-0.004076
0.5300,-0.001785,-0.010437,-0.999756,-0.003344,0.003958,-0.000847
0.5400,-0.001266,-0.010818,-1.000504,-0.003293,0.002708,-0.001998
0.5500,-0.001175,-0.009277,-0.999527,-0.002502,0.005344,-0.001679
0.5600,-0.000549,-0.010254,-1.000687,-0.003888,0.004688,-0.002031
0.5700,-0.001709,-0.009262,-0.998901,-0.002456,0.004363,-0.001924
0.5800,-0.001511,-0.009109,-1.000015,-0.003136,0.004136,-0.000737
0.5900,-0.002060,-0.009811,-0.999237,-0.004557,0.004306,-0.002682
0.6000,-0.003021,-0.010590,-0.999573,-0.002008,0.003425,-0.003016
0.6100,-0.002350,-0.010635,-0.999954,-0.002663,0.004535,-0.001959
0.6200,-0.002197,-0.010361,-1.001114,-0.002918,0.004317,-0.000723
0.6300,-0.001251,-0.009857,-1.000610,-0.003804,0.004124,-0.001758
0.6400,-0.001999,-0.010681,-0.999435,-0.002943,0.003981,-0.001815
0.6500,-0.001831,-0.010544,-0.998474,-0.003084,0.004929,-0.001940
0.6600,-0.002350,-0.010437,-0.997910,-0.003601,0.005309,-0.002022
0.6700,-0.001892,-0.010834,-0.998901,-0.002919,0.004222,-0.002135
0.6800,-0.001938,-0.009384,-0.998795,-0.001930,0.004229,-0.001200
0.6900,-0.002045,-0.010986,-0.999054,-0.003631,0.004133,-0.002329
0.7000,-0.001770,-0.011139,-0.999466,-0.002017,0.004569,-0.003547
0.7100,-0.001862,-0.010956,-1.000061,-0.003271,0.003314,-0.001003
0.7200,-0.002335,-0.011063,-0.999161,-0.002631,0.003769,-0.000255
0.7300,-0.001053,-0.011139,-0.999588,-0.005013,0.002920,-0.000719
0.7400,-0.001617,-0.010468,-0.998352,-0.002673,0.004994,-0.001824
0.7500,-0.000107,-0.010513,-0.999680,-0.003192,0.003742,-0.002764
0.7600,-0.001572,-0.010132,-0.999512,-0.004242,0.003585,-0.001516
0.7700,-0.001648,-0.009781,-1.000137,-0.002333,0.004053,-0.002325
0.7800,-0.001663,-0.011108,-1.000061,-0.001507,0.003363,-0.002311
0.7900,-0.001602,-0.010132,-0.998535,-0.003654,0.003510,-0.002401
0.8000,-0.000748,-0.010635,-0.999130,-0.003422,0.005200,-0.002182
0.8100,-0.001068,-0.009476,-1.000458,-0.003790,0.003600,-0.000410
0.8200,-0.002731,-0.011139,-1.000351,-0.004920,0.003248,-0.002120
0.8300,-0.002869,-0.011108,-1.000641,-0.003696,0.004171,-0.001939
0.8400,-0.002380,-0.010101,-1.000122,-0.003940,0.004726,-0.003021
0.8500,-0.001007,-0.010788,-1.000076,-0.004466,0.004795,-0.001810
0.8600,-0.002304,-0.010986,-0.999695,-0.003068,0.004057,-0.002383
0.8700,-0.002319,-0.010956,-0.999115,-0.003787,0.003000,-0.003300
0.8800,-0.001862,-0.011551,-1.000168,-0.002480,0.003069,-0.002404
0.8900,-0.002167,-0.010681,-1.001175,-0.002944,0.004760,-0.002799
0.9000,-0.002213,-0.010315,-1.000381,-0.003730,0.005180,-0.000227
0.9100,-0.001266,-0.010635,-0.998901,-0.003000,0.003184,-0.001784
0.9200,-0.003525,-0.009735,-1.000031,-0.003662,0.003853,-0.003298
0.9300,-0.001587,-0.009537,-1.000214,-0.003574,0.004237,-0.001664
0.9400,-0.001053,-0.009689,-1.001526,-0.001536,0.002168,-0.000538
0.9500,0.000092,-0.008636,-0.999039,-0.002080,0.004161,-0.001507
0.9600,-0.002960,-0.009323,-0.999741,-0.003008,0.003037,-0.002063
0.9700,-0.003235,-0.009430,-0.999268,-0.003713,0.003692,-0.001905
0.9800,-0.003632,-0.009995,-0.999283,-0.003608,0.004259,-0.001555
0.9900,-0.001328,-0.009171,-1.000153,-0.003844,0.002993,-0.002113
1.0000,-0.002274,-0.010803,-0.999756,-0.003163,0.004985,-0.001567
1.0100,-0.002121,-0.011398,-0.999756,-0.003399,0.004322,-0.001163
1.0200,-0.001251,-0.011963,-1.000443,-0.002122,0.002675,-0.002772
1.0300,-0.002426,-0.010391,-0.999161,-0.004103,0.004993,-0.001361
1.0400,-0.002701,-0.010544,-1.000122,-0.002821,0.005009,-0.003543
1.0500,-0.001755,-0.009720,-1.000168,-0.003785,0.003641,-0.002723
1.0600,-0.002060,-0.010452,-0.999802,-0.003319,0.003629,-0.002398
1.0700,-0.000381,-0.009018,-0.999252,-0.002728,0.004144,-0.002550
1.0800,-0.001862,-0.009766,-0.999390,-0.003496,0.004263,-0.002596
1.0900,-0.001785,-0.010269,-1.000732,-0.003527,0.003980,-0.001552
1.1000,-0.002487,-0.010712,-0.998917,-0.002661,0.004897,-0.001636
1.1100,-0.001328,-0.010132,-0.998703,-0.002882,0.003907,-0.000619
1.1200,-0.003204,-0.010971,-0.999268,-0.001930,0.003971,-0.000983
1.1300,-0.001907,-0.009537,-0.999023,-0.003583,0.004833,-0.000879
1.1400,-0.001099,-0.010803,-0.999588,-0.002188,0.003723,-0.000780
1.1500,-0.001404,-0.009720,-0.998871,-0.001519,0.003303,-0.001436
1.1600,-0.001526,-0.009521,-1.000046,-0.004730,0.003124,-0.000548
1.1700,-0.003021,-0.009598,-1.001312,-0.002344,0.003931,-0.001307
1.1800,-0.001862,-0.010406,-0.998993,-0.002793,0.002507,-0.001237
1.1900,-0.001434,-0.010742,-0.999664,-0.003101,0.003900,-0.000467
1.2000,-0.001709,-0.009842,-0.998795,-0.002958,0.004751,-0.001664
1.2100,-0.001740,-0.009460,-1.000305,-0.003221,0.004749,-0.002076
1.2200,-0.002106,-0.009659,-0.999771,-0.001770,0.003728,-0.001599
1.2300,-0.001923,-0.009720,-0.999710,-0.004262,0.003784,-0.001018
1.2400,-0.002396,-0.009995,-1.000519,-0.002691,0.002990,-0.001146
1.2500,-0.002075,-0.010757,-0.999252,-0.002891,0.002408,-0.004499
1.2600,-0.002335,-0.010468,-1.000824,-0.003363,0.001675,-0.002396
1.2700,-0.001785,-0.009232,-1.000534,-0.004220,0.004407,-0.002027
1.2800,-0.001770,-0.010468,-0.999893,-0.003409,0.004017,-0.001658
1.2900,-0.001495,-0.010834,-0.999084,-0.004137,0.003347,-0.001521
1.3000,-0.001236,-0.010666,-0.999405,-0.003439,0.003401,-0.001589
1.3100,-0.001724,-0.008881,-1.001083,-0.002535,0.003508,-0.000359
1.3200,-0.002045,-0.009598,-1.001007,-0.003815,0.003838,-0.001639
1.3300,-0.001709,-0.010223,-0.999908,-0.003377,0.003981,-0.001550
1.3400,-0.001892,-0.010635,-0.998795,-0.003381,0.004626,-0.002850
1.3500,-0.001495,-0.010010,-1.000305,-0.004105,0.003528,-0.002439
1.3600,-0.001938,-0.009033,-0.999664,-0.003113,0.005659,-0.000960
1.3700,-0.001068,-0.009995,-1.000580,-0.003756,0.003417,-0.001516
1.3800,-0.001938,-0.010315,-1.000198,-0.005513,0.002802,-0.002212
1.3900,-0.002136,-0.010010,-0.998459,-0.003213,0.003525,-0.003003
1.4000,-0.002121,-0.010712,-0.998398,-0.003280,0.005046,0.000578
1.4100,-0.001770,-0.010895,-0.999115,-0.004525,0.002517,-0.001143
1.4200,-0.002502,-0.010818,-0.999252,-0.003827,0.003247,-0.001489
1.4300,-0.001465,-0.008881,-0.998413,-0.002432,0.003299,-0.002444
1.4400,-0.001816,-0.010590,-1.000854,-0.001984,0.002469,-0.001585
1.4500,-0.002106,-0.009613,-1.000717,-0.003470,0.004948,-0.001159
1.4600,-0.002487,-0.009583,-0.998917,-0.003699,0.004054,-0.001203
1.4700,-0.000900,-0.008728,-0.999802,-0.002079,0.003722,-0.001472
1.4800,-0.000931,-0.010574,-0.999008,-0.003270,0.004522,0.000130
1.4900,-0.002380,-0.010681,-0.998688,-0.002419,0.003623,-0.001687
1.5000,-0.001221,-0.010529,-0.999420,-0.003657,0.004709,-0.001001
1.5100,-0.002472,-0.010254,-0.999832,-0.002228,0.002916,-0.002486
1.5200,-0.001541,-0.008911,-1.000961,-0.002580,0.004311,-0.000965
1.5300,-0.000473,-0.010483,-1.000626,-0.003073,0.002503,-0.001151
1.5400,-0.000290,-0.010895,-0.999313,-0.004089,0.004446,-0.000985
1.5500,-0.001556,-0.009628,-1.000122,-0.002663,0.003461,-0.000878
1.5600,-0.002182,-0.009857,-0.999237,-0.002717,0.004115,-0.000928
1.5700,-0.001587,-0.010956,-0.999466,-0.004625,0.003959,-0.001573
1.5800,-0.002518,-0.009918,-1.000320,-0.004653,0.003474,-0.003666
1.5900,-0.002258,-0.011368,-0.999435,-0.003221,0.003433,-0.002774
1.6000,-0.001862,-0.010452,-1.000305,-0.002809,0.002485,-0.002769
1.6100,-0.001892,-0.010391,-1.000351,-0.002499,0.002995,-0.000695
1.6200,-0.001770,-0.010574,-1.000107,-0.003958,0.004821,-0.003313
1.6300,-0.001602,-0.009903,-0.998795,-0.001491,0.004360,-0.003182
1.6400,-0.002167,-0.010117,-0.998947,-0.003606,0.003362,-0.000266
1.6500,-0.001724,-0.008438,-0.999832,-0.004069,0.004183,-0.002159
1.6600,-0.002243,-0.009216,-0.999664,-0.001761,0.003580,-0.000958
1.6700,-0.002075,-0.010406,-0.999451,-0.002768,0.004293,-0.001401
1.6800,-0.001740,-0.009430,-1.001419,-0.003654,0.003533,-0.002508
1.6900,-0.001236,-0.009018,-1.001419,-0.003520,0.002957,-0.002095
1.7000,-0.001907,-0.009811,-1.000015,-0.003264,0.003376,-0.001855
1.7100,-0.003342,-0.010162,-0.998993,-0.002592,0.004736,0.000290
1.7200,-0.002121,-0.009964,-1.000397,-0.003899,0.002833,-0.002661
1.7300,-0.002045,-0.009384,-1.000671,-0.003839,0.004103,-0.000642
1.7400,-0.001938,-0.010422,-0.999695,-0.004649,0.005187,-0.001612
1.7500,-0.002258,-0.010010,-0.999466,-0.003232,0.003928,-0.001787
1.7600,-0.002136,-0.009430,-0.999237,-0.003577,0.002569,-0.002093
1.7700,-0.003204,-0.009872,-0.999573,-0.003386,0.003476,-0.000268
1.7800,-0.002014,-0.010513,-0.999756,-0.002549,0.002868,-0.000750
1.7900,-0.002533,-0.010406,-0.999924,-0.003000,0.003939,-0.001920
1.8000,-0.001007,-0.010468,-0.999161,-0.002647,0.004160,-0.001202
1.8100,-0.001465,-0.009491,-0.998978,-0.002801,0.004594,-0.002621
1.8200,-0.000641,-0.010162,-0.999512,-0.001712,0.003874,-0.002006
1.8300,-0.001556,-0.009308,-0.999161,-0.003214,0.003908,-0.002217
1.8400,-0.001434,-0.008774,-1.000015,-0.003505,0.004883,-0.000209
1.8500,-0.001862,-0.010544,-1.000778,-0.003497,0.003870,-0.002669
1.8600,-0.002060,-0.010605,-0.999771,-0.002611,0.003647,-0.002577
1.8700,-0.001266,-0.009827,-0.999802,-0.002803,0.002399,-0.002265
1.8800,-0.002182,-0.010208,-0.999405,-0.004054,0.004474,-0.002088
1.8900,-0.003250,-0.009857,-1.000320,-0.003822,0.004281,-0.001760
1.9000,-0.001160,-0.009277,-0.999298,-0.002996,0.003943,-0.000992
1.9100,-0.002686,-0.009995,-1.000412,-0.002025,0.003761,-0.003010
1.9200,-0.001099,-0.010529,-0.998245,-0.003406,0.003434,-0.001957
1.9300,-0.002060,-0.009888,-0.999603,-0.001629,0.004459,-0.001528
1.9400,-0.001938,-0.010162,-0.999496,-0.002752,0.004311,-0.001126
1.9500,-0.002533,-0.009766,-0.999557,-0.002992,0.004284,-0.000204
1.9600,-0.002258,-0.010406,-1.000198,-0.002176,0.002617,0.000054
1.9700,-0.001617,-0.009354,-0.998932,-0.002674,0.004873,-0.002201
1.9800,-0.001175,-0.010284,-0.997833,-0.003433,0.003929,-0.000827
1.9900,-0.000839,-0.012131,-0.998550,-0.003821,0.002282,-0.001130
2.0000,-0.001389,-0.009964,-0.999695,-0.003518,0.002897,-0.001413
2.0100,-0.002579,-0.009598,-0.999725,-0.002674,0.004770,-0.002134
2.0200,-0.001617,-0.008942,-0.998535,-0.004017,0.004083,-0.001479
2.0300,-0.001617,-0.010406,-0.998993,-0.003116,0.003603,-0.001737
2.0400,-0.002151,-0.009262,-1.000565,-0.003315,0.003538,-0.002173
2.0500,-0.001846,-0.009293,-0.999283,-0.004269,0.004162,-0.002725
2.0600,-0.003357,-0.010300,-1.000717,-0.002803,0.003891,-0.001613
2.0700,-0.001099,-0.009781,-1.000122,-0.003131,0.003956,-0.003312
2.0800,-0.002396,-0.009827,-0.998749,-0.003761,0.003460,-0.001497
2.0900,-0.002838,-0.010422,-0.996994,-0.002717,0.003450,-0.001309
2.1000,-0.001541,-0.008789,-0.999176,-0.003000,0.004292,-0.000044
2.1100,-0.002274,-0.009979,-1.000397,-0.003588,0.003560,-0.001060
2.1200,-0.001892,-0.010452,-0.999573,-0.002946,0.004312,-0.001932
2.1300,-0.001526,-0.011566,-1.000107,-0.002497,0.003757,-0.000350
2.1400,-0.002075,-0.010742,-0.999557,-0.002007,0.003912,-0.001492
2.1500,-0.002426,-0.010025,-0.998383,-0.003406,0.003961,-0.001773
2.1600,-0.001648,-0.008865,-0.999527,-0.002345,0.003291,-0.002810
2.1700,-0.002380,-0.009567,-0.999802,-0.002733,0.004540,-0.001296
2.1800,-0.003021,-0.010910,-0.999573,-0.003932,0.004353,-0.003522
2.1900,-0.002243,-0.010406,-0.999237,-0.003579,0.002912,-0.000244
2.2000,-0.001999,-0.010284,-1.000992,-0.003336,0.003573,-0.001548
2.2100,-0.001938,-0.010056,-0.999176,-0.002906,0.003467,-0.002055
2.2200,-0.000870,-0.010971,-0.999039,-0.003774,0.003236,-0.001439
2.2300,-0.002151,-0.010788,-1.000549,-0.005184,0.003130,-0.002929
2.2400,-0.002472,-0.009613,-0.999008,-0.004005,0.004453,-0.001919
2.2500,-0.001053,-0.009384,-0.999619,-0.003211,0.003875,-0.001540
2.2600,-0.002182,-0.010147,-0.998672,-0.002947,0.004245,-0.002944
2.2700,-0.001511,-0.011261,-1.000931,-0.002871,0.003810,-0.001617
2.2800,-0.002457,-0.009720,-1.000946,-0.004630,0.003851,-0.000487
2.2900,-0.001328,-0.009903,-0.999115,-0.003654,0.003305,-0.002315
2.3000,-0.001129,-0.011475,-0.999954,-0.002941,0.002700,-0.001967
2.3100,-0.001389,-0.010849,-0.999588,-0.003356,0.002885,-0.002624
2.3200,-0.002991,-0.009796,-1.000732,-0.004112,0.003381,-0.001564
2.3300,-0.002975,-0.010330,-1.000290,-0.002574,0.004986,-0.002021
2.3400,-0.001419,-0.009476,-0.999176,-0.002818,0.004932,-0.002343
2.3500,-0.002167,-0.008743,-0.999466,-0.002826,0.003018,-0.000366
2.3600,-0.002533,-0.010223,-1.000809,-0.003206,0.003759,-0.001340
2.3700,-0.001862,-0.011307,-0.999359,-0.003919,0.003140,-0.001370
2.3800,-0.001068,-0.009766,-0.998962,-0.002560,0.002960,-0.002059
2.3900,-0.001587,-0.009781,-1.000977,-0.004270,0.003559,-0.001070
2.4000,-0.002090,-0.009659,-0.999298,-0.002848,0.002025,-0.002482
2.4100,-0.002563,-0.010971,-1.000565,-0.002713,0.003780,-0.004893
2.4200,-0.002655,-0.009323,-0.999252,-0.002107,0.003709,-0.001438
2.4300,-0.001724,-0.010056,-0.998856,-0.003949,0.004095,-0.003033
2.4400,-0.002396,-0.010223,-0.999588,-0.002226,0.003645,-0.000474
2.4500,-0.003708,-0.010422,-0.999527,-0.002230,0.004629,-0.002895
2.4600,-0.002014,-0.011154,-0.999756,-0.003503,0.003709,-0.000777
2.4700,-0.001526,-0.011368,-0.999893,-0.003197,0.004869,-0.003277
2.4800,-0.002151,-0.010681,-0.999268,-0.002892,0.003822,-0.001931
2.4900,-0.000641,-0.010147,-0.999573,-0.003731,0.005000,-0.002711
2.5000,-0.002792,-0.010559,-0.999832,-0.002672,0.003948,-0.002833
2.5100,-0.003540,-0.009842,-0.999847,-0.001823,0.004208,-0.002058
2.5200,-0.002274,-0.010223,-0.999268,-0.003121,0.003920,-0.001610
2.5300,-0.001984,-0.009186,-0.998978,-0.003813,0.004488,-0.000731
2.5400,-0.002243,-0.010590,-0.998428,-0.004136,0.003649,-0.001722
2.5500,-0.000748,-0.010559,-0.999344,-0.002515,0.003667,-0.001207
2.5600,-0.000793,-0.009933,-1.000137,-0.003768,0.003634,-0.002040
2.5700,-0.001999,-0.010635,-0.998474,-0.005090,0.005383,-0.001927
2.5800,-0.002441,-0.009979,-0.998856,-0.002979,0.004316,-0.002038
2.5900,-0.002106,-0.009659,-0.998428,-0.003215,0.003206,-0.001981
2.6000,-0.002304,-0.010574,-0.999527,-0.003738,0.003759,-0.002655
2.6100,-0.001480,-0.010254,-0.998810,-0.002162,0.003383,-0.002871
2.6200,-0.001541,-0.010712,-1.000534,-0.003412,0.004748,-0.002002
2.6300,-0.001160,-0.010300,-0.999237,-0.000969,0.003656,-0.002472
2.6400,-0.001709,-0.011734,-1.000748,-0.004368,0.003677,-0.002650
2.6500,-0.003433,-0.010223,-1.000458,-0.003233,0.003449,-0.001176
2.6600,-0.002060,-0.009323,-1.000351,-0.002626,0.002684,-0.002180
2.6700,-0.001663,-0.009445,-1.000366,-0.003191,0.002260,-0.001358
2.6800,-0.001434,-0.009827,-0.998322,-0.003583,0.003076,-0.002482
2.6900,-0.001709,-0.009659,-0.998856,-0.001980,0.003893,-0.003817
2.7000,-0.001938,-0.010590,-0.999329,-0.004061,0.003771,-0.001760
2.7100,-0.001495,-0.009933,-0.999359,-0.002343,0.003727,-0.003531
2.7200,-0.002426,-0.009964,-0.999512,-0.004736,0.004818,-0.000317
2.7300,-0.001877,-0.010330,-0.999710,-0.004704,0.004393,-0.001804
2.7400,-0.002716,-0.010468,-0.999588,-0.003747,0.004503,-0.001425
2.7500,-0.001801,-0.010422,-0.999084,-0.003925,0.003476,-0.001293
2.7600,-0.001953,-0.010086,-1.000259,-0.003926,0.003779,-0.001717
